case,iter,reward
test_180_120_010_0.csv,1,20
test_180_120_010_0.csv,2,60
test_180_120_010_0.csv,3,60
test_180_120_010_0.csv,4,90
test_180_120_010_0.csv,5,150
test_180_120_010_0.csv,6,210
test_180_120_010_0.csv,7,220
test_180_120_010_0.csv,8,250
test_180_120_010_0.csv,9,290
test_180_120_010_0.csv,10,280
test_180_120_010_0.csv,11,330
test_180_120_010_0.csv,12,290
test_180_120_010_0.csv,13,300
test_180_120_010_0.csv,14,330
test_180_120_010_0.csv,15,420
test_180_120_010_0.csv,16,430
test_180_120_010_0.csv,17,480
test_180_120_010_0.csv,18,490
test_180_120_010_0.csv,19,510
test_180_120_010_0.csv,20,550
test_180_120_010_0.csv,21,530
test_180_120_010_0.csv,22,610
test_180_120_010_0.csv,23,550
test_180_120_010_0.csv,24,570
test_180_120_010_0.csv,25,630
test_180_120_010_0.csv,26,680
test_180_120_010_0.csv,27,650
test_180_120_010_0.csv,28,720
test_180_120_010_0.csv,29,700
test_180_120_010_0.csv,30,710
test_180_120_010_0.csv,31,710
test_180_120_010_0.csv,32,660
test_180_120_010_0.csv,33,770
test_180_120_010_0.csv,34,650
test_180_120_010_0.csv,35,660
test_180_120_010_0.csv,36,660
test_180_120_010_0.csv,37,750
test_180_120_010_0.csv,38,730
test_180_120_010_0.csv,39,780
test_180_120_010_0.csv,40,760
test_180_120_010_0.csv,41,770
test_180_120_010_0.csv,42,770
test_180_120_010_0.csv,43,720
test_180_120_010_0.csv,44,850
test_180_120_010_0.csv,45,730
test_180_120_010_0.csv,46,730
test_180_120_010_0.csv,47,700
test_180_120_010_0.csv,48,830
test_180_120_010_0.csv,49,820
test_180_120_010_0.csv,50,880
test_180_120_010_0.csv,51,830
test_180_120_010_0.csv,52,850
test_180_120_010_0.csv,53,870
test_180_120_010_0.csv,54,830
test_180_120_010_0.csv,55,960
test_180_120_010_0.csv,56,820
test_180_120_010_0.csv,57,820
test_180_120_010_0.csv,58,810
test_180_120_010_0.csv,59,940
test_180_120_010_0.csv,60,930
test_180_120_010_0.csv,61,970
test_180_120_010_0.csv,62,930
test_180_120_010_0.csv,63,930
test_180_120_010_0.csv,64,930
test_180_120_010_0.csv,65,900
test_180_120_010_0.csv,66,1020
test_180_120_010_0.csv,67,880
test_180_120_010_0.csv,68,880
test_180_120_010_0.csv,69,860
test_180_120_010_0.csv,70,980
test_180_120_010_0.csv,71,970
test_180_120_010_0.csv,72,1010
test_180_120_010_0.csv,73,960
test_180_120_010_0.csv,74,980
test_180_120_010_0.csv,75,960
test_180_120_010_0.csv,76,940
test_180_120_010_0.csv,77,1070
test_180_120_010_0.csv,78,930
test_180_120_010_0.csv,79,910
test_180_120_010_0.csv,80,930
test_180_120_010_0.csv,81,1020
test_180_120_010_0.csv,82,1010
test_180_120_010_0.csv,83,1040
test_180_120_010_0.csv,84,990
test_180_120_010_0.csv,85,990
test_180_120_010_0.csv,86,980
test_180_120_010_0.csv,87,970
test_180_120_010_0.csv,88,1090
test_180_120_010_0.csv,89,940
test_180_120_010_0.csv,90,960
test_180_120_010_0.csv,91,960
test_180_120_010_0.csv,92,1050
test_180_120_010_0.csv,93,1050
test_180_120_010_0.csv,94,1080
test_180_120_010_0.csv,95,1020
test_180_120_010_0.csv,96,1020
test_180_120_010_0.csv,97,1010
test_180_120_010_0.csv,98,1010
test_180_120_010_0.csv,99,1120
test_180_120_010_0.csv,100,960
test_180_120_010_0.csv,101,950
test_180_120_010_0.csv,102,960
test_180_120_010_0.csv,103,1060
test_180_120_010_0.csv,104,1050
test_180_120_010_0.csv,105,1090
test_180_120_010_0.csv,106,1030
test_180_120_010_0.csv,107,1030
test_180_120_010_0.csv,108,1020
test_180_120_010_0.csv,109,1030
test_180_120_010_0.csv,110,1140
test_180_120_010_0.csv,111,990
test_180_120_010_0.csv,112,980
test_180_120_010_0.csv,113,960
test_180_120_010_0.csv,114,1070
test_180_120_010_0.csv,115,1070
test_180_120_010_0.csv,116,1110
test_180_120_010_0.csv,117,1060
test_180_120_010_0.csv,118,1030
test_180_120_010_0.csv,119,1040
test_180_120_010_0.csv,120,1030
test_180_120_010_0.csv,121,1150
test_180_120_010_0.csv,122,990
test_180_120_010_0.csv,123,980
test_180_120_010_0.csv,124,980
test_180_120_010_0.csv,125,1080
test_180_120_010_0.csv,126,1070
test_180_120_010_0.csv,127,1120
test_180_120_010_0.csv,128,1050
test_180_120_010_0.csv,129,1030
test_180_120_010_0.csv,130,1040
test_180_120_010_0.csv,131,1030
test_180_120_010_0.csv,132,1150
test_180_120_010_0.csv,133,990
test_180_120_010_0.csv,134,980
test_180_120_010_0.csv,135,970
test_180_120_010_0.csv,136,1080
test_180_120_010_0.csv,137,1070
test_180_120_010_0.csv,138,1120
test_180_120_010_0.csv,139,1060
test_180_120_010_0.csv,140,1050
test_180_120_010_0.csv,141,1060
test_180_120_010_0.csv,142,1060
test_180_120_010_0.csv,143,1170
test_180_120_010_0.csv,144,1010
test_180_120_010_0.csv,145,990
test_180_120_010_0.csv,146,990
test_180_120_010_0.csv,147,1090
test_180_120_010_0.csv,148,1100
test_180_120_010_0.csv,149,1130
test_180_120_010_0.csv,150,1070
test_180_120_010_0.csv,151,1060
test_180_120_010_0.csv,152,1060
test_180_120_010_0.csv,153,1050
test_180_120_010_0.csv,154,1170
test_180_120_010_0.csv,155,1010
test_180_120_010_0.csv,156,990
test_180_120_010_0.csv,157,1000
test_180_120_010_0.csv,158,1100
test_180_120_010_0.csv,159,1090
test_180_120_010_0.csv,160,1140
test_180_120_010_0.csv,161,1080
test_180_120_010_0.csv,162,1080
test_180_120_010_0.csv,163,1070
test_180_120_010_0.csv,164,1060
test_180_120_010_0.csv,165,1180
test_180_120_010_0.csv,166,1020
test_180_120_010_0.csv,167,1010
test_180_120_010_0.csv,168,1000
test_180_120_010_0.csv,169,1100
test_180_120_010_0.csv,170,1090
test_180_120_010_0.csv,171,1140
test_180_120_010_0.csv,172,1080
test_180_120_010_0.csv,173,1060
test_180_120_010_0.csv,174,1070
test_180_120_010_0.csv,175,1070
test_180_120_010_0.csv,176,1190
test_180_120_010_0.csv,177,1040
test_180_120_010_0.csv,178,1010
test_180_120_010_0.csv,179,1020
test_180_120_010_0.csv,180,1110
test_180_120_001_0.csv,1,40
test_180_120_001_0.csv,2,70
test_180_120_001_0.csv,3,90
test_180_120_001_0.csv,4,170
test_180_120_001_0.csv,5,200
test_180_120_001_0.csv,6,200
test_180_120_001_0.csv,7,230
test_180_120_001_0.csv,8,240
test_180_120_001_0.csv,9,250
test_180_120_001_0.csv,10,270
test_180_120_001_0.csv,11,310
test_180_120_001_0.csv,12,320
test_180_120_001_0.csv,13,330
test_180_120_001_0.csv,14,320
test_180_120_001_0.csv,15,350
test_180_120_001_0.csv,16,380
test_180_120_001_0.csv,17,420
test_180_120_001_0.csv,18,450
test_180_120_001_0.csv,19,470
test_180_120_001_0.csv,20,500
test_180_120_001_0.csv,21,520
test_180_120_001_0.csv,22,520
test_180_120_001_0.csv,23,540
test_180_120_001_0.csv,24,550
test_180_120_001_0.csv,25,540
test_180_120_001_0.csv,26,560
test_180_120_001_0.csv,27,570
test_180_120_001_0.csv,28,570
test_180_120_001_0.csv,29,580
test_180_120_001_0.csv,30,630
test_180_120_001_0.csv,31,640
test_180_120_001_0.csv,32,640
test_180_120_001_0.csv,33,640
test_180_120_001_0.csv,34,630
test_180_120_001_0.csv,35,670
test_180_120_001_0.csv,36,670
test_180_120_001_0.csv,37,700
test_180_120_001_0.csv,38,740
test_180_120_001_0.csv,39,750
test_180_120_001_0.csv,40,750
test_180_120_001_0.csv,41,730
test_180_120_001_0.csv,42,780
test_180_120_001_0.csv,43,790
test_180_120_001_0.csv,44,810
test_180_120_001_0.csv,45,800
test_180_120_001_0.csv,46,820
test_180_120_001_0.csv,47,830
test_180_120_001_0.csv,48,840
test_180_120_001_0.csv,49,840
test_180_120_001_0.csv,50,850
test_180_120_001_0.csv,51,880
test_180_120_001_0.csv,52,880
test_180_120_001_0.csv,53,880
test_180_120_001_0.csv,54,920
test_180_120_001_0.csv,55,890
test_180_120_001_0.csv,56,920
test_180_120_001_0.csv,57,960
test_180_120_001_0.csv,58,960
test_180_120_001_0.csv,59,960
test_180_120_001_0.csv,60,940
test_180_120_001_0.csv,61,960
test_180_120_001_0.csv,62,940
test_180_120_001_0.csv,63,960
test_180_120_001_0.csv,64,960
test_180_120_001_0.csv,65,970
test_180_120_001_0.csv,66,960
test_180_120_001_0.csv,67,1030
test_180_120_001_0.csv,68,1010
test_180_120_001_0.csv,69,1030
test_180_120_001_0.csv,70,1020
test_180_120_001_0.csv,71,1060
test_180_120_001_0.csv,72,1040
test_180_120_001_0.csv,73,1050
test_180_120_001_0.csv,74,1070
test_180_120_001_0.csv,75,1080
test_180_120_001_0.csv,76,1070
test_180_120_001_0.csv,77,1090
test_180_120_001_0.csv,78,1090
test_180_120_001_0.csv,79,1100
test_180_120_001_0.csv,80,1110
test_180_120_001_0.csv,81,1070
test_180_120_001_0.csv,82,1120
test_180_120_001_0.csv,83,1130
test_180_120_001_0.csv,84,1140
test_180_120_001_0.csv,85,1110
test_180_120_001_0.csv,86,1140
test_180_120_001_0.csv,87,1130
test_180_120_001_0.csv,88,1130
test_180_120_001_0.csv,89,1120
test_180_120_001_0.csv,90,1120
test_180_120_001_0.csv,91,1080
test_180_120_001_0.csv,92,1140
test_180_120_001_0.csv,93,1150
test_180_120_001_0.csv,94,1150
test_180_120_001_0.csv,95,1170
test_180_120_001_0.csv,96,1150
test_180_120_001_0.csv,97,1150
test_180_120_001_0.csv,98,1170
test_180_120_001_0.csv,99,1170
test_180_120_001_0.csv,100,1170
test_180_120_001_0.csv,101,1160
test_180_120_001_0.csv,102,1150
test_180_120_001_0.csv,103,1160
test_180_120_001_0.csv,104,1170
test_180_120_001_0.csv,105,1150
test_180_120_001_0.csv,106,1160
test_180_120_001_0.csv,107,1140
test_180_120_001_0.csv,108,1160
test_180_120_001_0.csv,109,1160
test_180_120_001_0.csv,110,1170
test_180_120_001_0.csv,111,1160
test_180_120_001_0.csv,112,1160
test_180_120_001_0.csv,113,1160
test_180_120_001_0.csv,114,1150
test_180_120_001_0.csv,115,1170
test_180_120_001_0.csv,116,1150
test_180_120_001_0.csv,117,1170
test_180_120_001_0.csv,118,1170
test_180_120_001_0.csv,119,1170
test_180_120_001_0.csv,120,1170
test_180_120_001_0.csv,121,1180
test_180_120_001_0.csv,122,1190
test_180_120_001_0.csv,123,1190
test_180_120_001_0.csv,124,1170
test_180_120_001_0.csv,125,1170
test_180_120_001_0.csv,126,1180
test_180_120_001_0.csv,127,1170
test_180_120_001_0.csv,128,1160
test_180_120_001_0.csv,129,1180
test_180_120_001_0.csv,130,1190
test_180_120_001_0.csv,131,1180
test_180_120_001_0.csv,132,1180
test_180_120_001_0.csv,133,1180
test_180_120_001_0.csv,134,1170
test_180_120_001_0.csv,135,1190
test_180_120_001_0.csv,136,1180
test_180_120_001_0.csv,137,1170
test_180_120_001_0.csv,138,1180
test_180_120_001_0.csv,139,1190
test_180_120_001_0.csv,140,1190
test_180_120_001_0.csv,141,1160
test_180_120_001_0.csv,142,1190
test_180_120_001_0.csv,143,1180
test_180_120_001_0.csv,144,1190
test_180_120_001_0.csv,145,1180
test_180_120_001_0.csv,146,1180
test_180_120_001_0.csv,147,1170
test_180_120_001_0.csv,148,1180
test_180_120_001_0.csv,149,1180
test_180_120_001_0.csv,150,1180
test_180_120_001_0.csv,151,1190
test_180_120_001_0.csv,152,1190
test_180_120_001_0.csv,153,1170
test_180_120_001_0.csv,154,1190
test_180_120_001_0.csv,155,1160
test_180_120_001_0.csv,156,1180
test_180_120_001_0.csv,157,1190
test_180_120_001_0.csv,158,1190
test_180_120_001_0.csv,159,1190
test_180_120_001_0.csv,160,1170
test_180_120_001_0.csv,161,1170
test_180_120_001_0.csv,162,1170
test_180_120_001_0.csv,163,1190
test_180_120_001_0.csv,164,1180
test_180_120_001_0.csv,165,1190
test_180_120_001_0.csv,166,1150
test_180_120_001_0.csv,167,1190
test_180_120_001_0.csv,168,1170
test_180_120_001_0.csv,169,1180
test_180_120_001_0.csv,170,1160
test_180_120_001_0.csv,171,1190
test_180_120_001_0.csv,172,1170
test_180_120_001_0.csv,173,1170
test_180_120_001_0.csv,174,1170
test_180_120_001_0.csv,175,1180
test_180_120_001_0.csv,176,1160
test_180_120_001_0.csv,177,1180
test_180_120_001_0.csv,178,1180
test_180_120_001_0.csv,179,1180
test_180_120_001_0.csv,180,1180
test_180_120_005_0.csv,1,40
test_180_120_005_0.csv,2,90
test_180_120_005_0.csv,3,130
test_180_120_005_0.csv,4,190
test_180_120_005_0.csv,5,220
test_180_120_005_0.csv,6,240
test_180_120_005_0.csv,7,270
test_180_120_005_0.csv,8,310
test_180_120_005_0.csv,9,350
test_180_120_005_0.csv,10,380
test_180_120_005_0.csv,11,380
test_180_120_005_0.csv,12,410
test_180_120_005_0.csv,13,430
test_180_120_005_0.csv,14,450
test_180_120_005_0.csv,15,460
test_180_120_005_0.csv,16,440
test_180_120_005_0.csv,17,500
test_180_120_005_0.csv,18,540
test_180_120_005_0.csv,19,550
test_180_120_005_0.csv,20,570
test_180_120_005_0.csv,21,600
test_180_120_005_0.csv,22,600
test_180_120_005_0.csv,23,630
test_180_120_005_0.csv,24,650
test_180_120_005_0.csv,25,660
test_180_120_005_0.csv,26,670
test_180_120_005_0.csv,27,720
test_180_120_005_0.csv,28,680
test_180_120_005_0.csv,29,730
test_180_120_005_0.csv,30,730
test_180_120_005_0.csv,31,750
test_180_120_005_0.csv,32,740
test_180_120_005_0.csv,33,770
test_180_120_005_0.csv,34,750
test_180_120_005_0.csv,35,770
test_180_120_005_0.csv,36,740
test_180_120_005_0.csv,37,760
test_180_120_005_0.csv,38,800
test_180_120_005_0.csv,39,790
test_180_120_005_0.csv,40,780
test_180_120_005_0.csv,41,810
test_180_120_005_0.csv,42,800
test_180_120_005_0.csv,43,810
test_180_120_005_0.csv,44,790
test_180_120_005_0.csv,45,810
test_180_120_005_0.csv,46,820
test_180_120_005_0.csv,47,840
test_180_120_005_0.csv,48,820
test_180_120_005_0.csv,49,850
test_180_120_005_0.csv,50,820
test_180_120_005_0.csv,51,840
test_180_120_005_0.csv,52,840
test_180_120_005_0.csv,53,860
test_180_120_005_0.csv,54,830
test_180_120_005_0.csv,55,870
test_180_120_005_0.csv,56,830
test_180_120_005_0.csv,57,870
test_180_120_005_0.csv,58,910
test_180_120_005_0.csv,59,900
test_180_120_005_0.csv,60,890
test_180_120_005_0.csv,61,930
test_180_120_005_0.csv,62,920
test_180_120_005_0.csv,63,910
test_180_120_005_0.csv,64,900
test_180_120_005_0.csv,65,930
test_180_120_005_0.csv,66,920
test_180_120_005_0.csv,67,980
test_180_120_005_0.csv,68,940
test_180_120_005_0.csv,69,990
test_180_120_005_0.csv,70,950
test_180_120_005_0.csv,71,990
test_180_120_005_0.csv,72,980
test_180_120_005_0.csv,73,990
test_180_120_005_0.csv,74,960
test_180_120_005_0.csv,75,980
test_180_120_005_0.csv,76,960
test_180_120_005_0.csv,77,970
test_180_120_005_0.csv,78,1000
test_180_120_005_0.csv,79,1020
test_180_120_005_0.csv,80,1010
test_180_120_005_0.csv,81,1030
test_180_120_005_0.csv,82,1030
test_180_120_005_0.csv,83,1000
test_180_120_005_0.csv,84,1000
test_180_120_005_0.csv,85,1020
test_180_120_005_0.csv,86,1020
test_180_120_005_0.csv,87,1060
test_180_120_005_0.csv,88,1040
test_180_120_005_0.csv,89,1070
test_180_120_005_0.csv,90,1040
test_180_120_005_0.csv,91,1070
test_180_120_005_0.csv,92,1040
test_180_120_005_0.csv,93,1060
test_180_120_005_0.csv,94,1020
test_180_120_005_0.csv,95,1030
test_180_120_005_0.csv,96,1000
test_180_120_005_0.csv,97,1050
test_180_120_005_0.csv,98,1070
test_180_120_005_0.csv,99,1070
test_180_120_005_0.csv,100,1070
test_180_120_005_0.csv,101,1070
test_180_120_005_0.csv,102,1080
test_180_120_005_0.csv,103,1070
test_180_120_005_0.csv,104,1070
test_180_120_005_0.csv,105,1080
test_180_120_005_0.csv,106,1080
test_180_120_005_0.csv,107,1110
test_180_120_005_0.csv,108,1080
test_180_120_005_0.csv,109,1130
test_180_120_005_0.csv,110,1100
test_180_120_005_0.csv,111,1130
test_180_120_005_0.csv,112,1100
test_180_120_005_0.csv,113,1120
test_180_120_005_0.csv,114,1080
test_180_120_005_0.csv,115,1080
test_180_120_005_0.csv,116,1060
test_180_120_005_0.csv,117,1080
test_180_120_005_0.csv,118,1130
test_180_120_005_0.csv,119,1140
test_180_120_005_0.csv,120,1130
test_180_120_005_0.csv,121,1140
test_180_120_005_0.csv,122,1130
test_180_120_005_0.csv,123,1130
test_180_120_005_0.csv,124,1130
test_180_120_005_0.csv,125,1120
test_180_120_005_0.csv,126,1110
test_180_120_005_0.csv,127,1140
test_180_120_005_0.csv,128,1110
test_180_120_005_0.csv,129,1150
test_180_120_005_0.csv,130,1120
test_180_120_005_0.csv,131,1150
test_180_120_005_0.csv,132,1120
test_180_120_005_0.csv,133,1150
test_180_120_005_0.csv,134,1100
test_180_120_005_0.csv,135,1110
test_180_120_005_0.csv,136,1080
test_180_120_005_0.csv,137,1100
test_180_120_005_0.csv,138,1160
test_180_120_005_0.csv,139,1150
test_180_120_005_0.csv,140,1140
test_180_120_005_0.csv,141,1150
test_180_120_005_0.csv,142,1140
test_180_120_005_0.csv,143,1130
test_180_120_005_0.csv,144,1130
test_180_120_005_0.csv,145,1130
test_180_120_005_0.csv,146,1120
test_180_120_005_0.csv,147,1150
test_180_120_005_0.csv,148,1120
test_180_120_005_0.csv,149,1160
test_180_120_005_0.csv,150,1130
test_180_120_005_0.csv,151,1160
test_180_120_005_0.csv,152,1130
test_180_120_005_0.csv,153,1150
test_180_120_005_0.csv,154,1100
test_180_120_005_0.csv,155,1100
test_180_120_005_0.csv,156,1080
test_180_120_005_0.csv,157,1090
test_180_120_005_0.csv,158,1160
test_180_120_005_0.csv,159,1150
test_180_120_005_0.csv,160,1150
test_180_120_005_0.csv,161,1150
test_180_120_005_0.csv,162,1140
test_180_120_005_0.csv,163,1130
test_180_120_005_0.csv,164,1130
test_180_120_005_0.csv,165,1130
test_180_120_005_0.csv,166,1120
test_180_120_005_0.csv,167,1150
test_180_120_005_0.csv,168,1130
test_180_120_005_0.csv,169,1170
test_180_120_005_0.csv,170,1140
test_180_120_005_0.csv,171,1170
test_180_120_005_0.csv,172,1140
test_180_120_005_0.csv,173,1160
test_180_120_005_0.csv,174,1110
test_180_120_005_0.csv,175,1110
test_180_120_005_0.csv,176,1090
test_180_120_005_0.csv,177,1100
test_180_120_005_0.csv,178,1160
test_180_120_005_0.csv,179,1170
test_180_120_005_0.csv,180,1140
test_180_120_001_2.csv,1,30
test_180_120_001_2.csv,2,80
